Item,Quantity,Price (USD),Link,Price (ZAR)
SanDisk 64GB Memory Card,1, $11.99 ,https://www.amazon.co.za/Version-SanDisk-MicroSDXC-Memory-Adapter/dp/B073JYVKNX/ref=asc_df_B073JYVKNX?mcid=3bb01036d2c83718919486ea08d56e3f&tag=zashopgode-21&linkCode=df0&hvadid=712282149103&hvpos=&hvnetw=g&hvrand=5492334769190855497&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9261432&hvtargid=pla-357026569590&psc=1&language=en_ZA&gad_source=1,R200.00
12V to 5V 5A Step Down Buck Converter,1, $5.22 ,https://www.temu.com/za/--24v-12v-to-5v-5a-step-down-power-supply--converter-replace--adjustable-usb-step-down-charging-module-for-phone-g-606320598027015.html?_oak_mp_inf=EIeW9p6g7okBGiA1NjEzZWZkNTUwOTM0NjQyYmMxNjViZDkwZDRmOTc3ZiD01v294zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F2de43720-abe0-47f7-8af0-88b3c3f3e71a.jpg&spec_gallery_id=40090672157&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTE1MDA&_oak_gallery_order=285691133%2C898923029%2C506985062%2C512637024%2C314276796%2C1254243110%2C2097502690%2C1545095056&search_key=12v%20to%205v%20converter&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779051630888_yfnb1psf2h&_x_sessn_id=ynuxxz9471,R87.00
Quick-Connect Terminals,1, $8.15 ,https://www.temu.com/za/76pcs-quick-connect-terminals-electrical-installations-2-port-3-port-5-port-versatile-connection-terminals-cable-connectors-with-levers-for-412-413-415-conductor-types-g-606113315545993.html?_oak_mp_inf=EInH94ac6IkBGiA1YWFhYmIwZTE0YjM0MjhlOGFlOGY0NzQ2ZWRhODI2MSD1zYS%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Falgo_framework%2FImageCm2InAlgo%2Fd011ab48-2e90-11f1-aa68-0a580aae0449.jpg&spec_gallery_id=37256848775&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTk0MDA&_oak_gallery_order=1671990256&search_key=Wago%20221%203-way%20clips&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779051630888_yfnb1psf2h&_x_sessn_id=ynuxxz9471,R136.00
M3 10mm Screws,100, $4.56 ,https://www.temu.com/za/304-stainless-steel--phillips-pan-head-machine-screws-multiple-sizes-6-25mm--durable--electronics-3d-printing-diy-projects-g-605731784874613.html?_oak_mp_inf=EPW0996O3YkBGiAzNTZjNWU2OTU5Njc0ODk3OTVlMjBiNjExMTBjMDg2ZCDtgZu%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F5c2f87ce-150c-4fbf-93d0-fbed55d33bef.jpg&spec_gallery_id=40324968479&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjQwMA&_oak_gallery_order=1356290859%2C557160163%2C754368684%2C1576880498%2C65627385&search_key=m3%20screws&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779052221750_bi3otxdlbw&_x_sessn_id=ynuxxz9471,R76.00
M3 Heated Inserts,120, $3.60 ,https://www.temu.com/za/120pcs--brass-insert-nuts-knurled-thread-embedment-heat-insert--surface-durable-brass-material-for-secure-fastening-in-mechanical-applications-g-601099538038569.html?_oak_mp_inf=EKn%2BwaOm1ogBGiA0YmYwNDUyMDE0ZGI0YTk5OWE0Njc4MjA2ZWQwOTNhNCC00KW%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2Fe4c2a2f422380694fd77da910bc82ce8.jpg&spec_gallery_id=601099538038569&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzkwMA&_oak_gallery_order=1576263003%2C1485170111%2C1580353542%2C827447464%2C1527332513%2C1958142928%2C557463554%2C1692340890%2C284935922%2C1210550964&search_key=m3%20heated%20inserts&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779052386659_5k0ik0xpy0&_x_sessn_id=ynuxxz9471,R60.00
M2 Heated Inserts,100, $5.70 ,https://www.temu.com/za/m2-threaded-insert-self-clinching-nut-brass-knurled-internal-thread-100pcs-for-3d-printer-hardware-thermoplastics-g-606409534047817.html?_oak_mp_inf=EMmM9sbr8IkBGiA4NTBjNzY2ODVhOGI0N2FiYmQ5YTJhZmMxMWRjMjg1ZSDF8qu%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F310f224bd8014bbd96fb543cc671e342-goods.jpeg&spec_gallery_id=606409534047817&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTQ2MDA&_oak_gallery_order=1776553400%2C957862349%2C937904224%2C1932392408%2C1112402673%2C1705623531%2C1110305588%2C1765887739&search_key=m2%20heated%20inserts&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779052386659_5k0ik0xpy0&_x_sessn_id=ynuxxz9471,R95.00
M2 6mm Screws,200, $2.40 ,https://www.temu.com/za/m2-0-4-screw-machine-screws-pan-phillips-cross-head-screw-304-stainless-steel-fasteners-bolts-gb818-g-601105540119893.html?_oak_mp_inf=ENX6w9G81ogBGiA3ZmUxMDMyNTVkZTc0ZmQ4YWI3YTUzMTk5ZjdlM2RlZCCkw7K%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F2c70f6ee142c4d5394aec32519503f9e-goods.jpeg&spec_gallery_id=29765693098&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzYwMA&_oak_gallery_order=1240106742%2C1904572985%2C146352677%2C883161369%2C502991547%2C1020208798%2C405714469%2C641607788%2C165064526%2C1218831656&search_key=m2%20screw&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779052386659_5k0ik0xpy0&_x_sessn_id=ynuxxz9471,R40.00
Shipping + import tax,, $23.98 ,,R400
,,,,
,Total:, $245.46 ,,R4 094.00
